ISBN;Titulo;Data de Lancamento;Autor;Editora;Idioma;Estante;Estado; Valor de Venda ;Estoque;Valor de compra;Data de cadastro de entrada;Data de Cadastro Plataforma;Vendido?
9788525060792;Três coroas negras (Livro 1) Capa comum ;04/04/2017;Kendare Blake ;Alt;Português;Letra do autor;Usado; R$ 35,00 ;1; R$ 11,67 ;12/11/2025;12/11/2025;
9786525914527;Mashle: Magia e Músculos Vol. 6 Capa comum;17/02/2023;Hajime Koumoto ;Panini;Português;Mangá;Usado; R$ 35,00 ;1; R$ 11,67 ;12/11/2025;12/11/2025;
9788576162759;Marusaku - V. 03 Capa comum;01/01/2010;Akira Toriyama;Conrad;Português;Mangá;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;12/11/2025;
9786559825691;Mashle: Magia e Músculos Vol. 5 Capa comum ;15/06/2025;Hajime Koumot;Panini;Português;Mangá;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;12/11/2025;
9786559603084;Mashle: magia e músculos - 01 Capa comum;30/11/2025;Hajime Koumoto ;Panini;Português;Mangá;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;12/11/2025;
9786559821259;Rooster Fighter - o Galo Lutador Vol. 1 Capa comum;15/04/2024;Syu Sakuratani;Panini;Português;Mangá;Usado; R$ 25,00 ;1; R$ 8,33 ;12/11/2025;12/11/2025;
9788542629446;Re: Zero - 4: Capítulo 2: uma Semana na Mansão  Capa comum;04/03/2020;Fugetsu, Makoto, Nagatsuki, Tappei;Panini;Português;Mangá;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;12/11/2025;
9786559820177;Konosuba: Abençoado Mundo Maravilhoso! Vol. 1 Capa comum;20/03/2024; Natsume Akatsuki;Panini;Português;Mangá;Usado; R$ 25,00 ;1; R$ 8,33 ;12/11/2025;Verificar estoque;
9788535930870;Os bestializados: O Rio de Janeiro e a República que não foi Capa comum ;05/02/2019;José Murilo de Carvalho;Companhia das Letras;Português;Mangá;Usado; R$ 60,00 ;1; R$ 20,00 ;12/11/2025;12/11/2025;
9786557112175;Dominação e desigualdade: Estudos sobre a repartição da renda Capa comum;14/03/2024; Paul Singer,  Helena Singer, Suzana Singer;Editora Unesp;Português;Letra do autor;Usado; R$ 50,00 ;1; R$ 16,67 ;12/11/2025;12/11/2025;
9786585168052;A Mandíbula de Caim - Edição Bilíngue (cobertura pode variar) Capa comum;15/03/2023;Mathers Edward Powys e  Torquemada ;Camelot Editora;Português;Letra do autor;Usado; R$ 25,00 ;1; R$ 8,33 ;12/11/2025;12/11/2025;
9788501067340;Vidas secas Capa comum ;28/03/2003;Graciliano Ramos;Record;Português;Letra do autor;Usado; R$ 25,00 ;1; R$ 8,33 ;12/11/2025;12/11/2025;
9786556220260;Oito Assassinatos Perfeitos: um Suspense Psicológico Arrepiante, Perfeito Para os Fãs de Thrillers Policiais Capa comum;04/03/2022;Peter Swanson;Jangada;Português;Letra do autor;Usado; R$ 35,00 ;1; R$ 11,67 ;12/11/2025;12/11/2025;
9788535928952;A formation das almas: O imaginário da República no Brasil Capa comum;13/04/2017;José Murilo de Carvalho;Companhia das Letras;Português;Letra do autor;Usado; R$ 60,00 ;1; R$ 20,00 ;12/11/2025;12/11/2025;
9788577260263;Engenharia Econômica Capa comum ;01/01/2008; Leland Blank  e Anthony Tarquin;AMGH;Português;Emprrendedorismo;Usado; R$ 175,00 ;1; R$ 58,33 ;12/11/2025;12/11/2025;
9786556097459;Asas reluzentes Volume 1 Capa comum;05/03/2025;Allison Saft ;Universo dos Livros;Português;Letra do autor;Novo; R$ 50,00 ;1; R$ 16,67 ;12/11/2025;12/11/2025;
9786550480318;Corrupt (Devil's Night Livro 1)- Idioma ?Português Capa comum ;01/03/2020;Penelope Douglas ;The Gift Dark;Português;Letra do autor;Novo; R$ 60,00 ;1; R$ 20,00 ;12/11/2025;12/11/2025;
9788535911626;Persépolis - Completo Capa comum;10/12/2007;Marjane Satrapi;Quadrinhos na Cia;Português;Mangá;Novo; R$ 65,00 ;1; R$ 21,67 ;12/11/2025;12/11/2025;
9780743292337;The Cell: A Novel Capa dura;24/01/2006;Stephen King ;Scribner Book Company;Inglês;Terror;Usado; R$ 65,00 ;1; R$ 21,67 ;12/11/2025;12/11/2025;
9786555980905;Grimório das Bruxas Capa dura;28/04/2021; Ronald Hutton;Darkside Books - Macabra;Português;Darkside ;Usado; R$ 70,00 ;1; R$ 23,33 ;12/11/2025;12/11/2025;
